3840,N,0,0
3840,N,2,0
3840,N,3,0
3840,S,0,7521
4080,N,0,0
4080,N,2,0
4080,N,3,0
4560,N,0,361
4560,N,2,361
4560,N,3,361
5040,N,0,0
5040,N,2,0
5040,N,3,0
5520,N,0,361
5520,N,2,361
5520,N,3,361
6000,N,0,0
6000,N,2,0
6000,N,3,0
6480,N,0,0
6480,N,2,0
6480,N,3,0
6720,N,1,0
6720,N,3,0
6960,N,0,0
6960,N,3,0
7200,N,1,299
7200,N,3,299
7680,N,0,0
7680,N,2,0
7680,N,3,0
7680,S,1,11358
7680,S,2,3719
7680,S,3,3719
7920,N,0,0
7920,N,2,0
7920,N,3,0
8400,N,0,0
8400,N,2,0
8400,N,3,0
8640,N,0,0
8880,N,0,0
8880,N,2,0
8880,N,3,0
9360,N,0,0
9360,N,2,0
9360,N,3,0
9600,N,0,0
9840,N,0,0
9840,N,2,0
9840,N,3,0
10080,N,1,1320
11520,N,4,7498
19200,N,0,0
19200,S,0,3682
19440,N,0,359
19440,N,1,359
19920,N,0,0
19920,N,1,0
20160,N,2,0
20160,N,3,0
20400,N,2,0
20400,N,3,0
20640,N,1,0
20640,N,2,0
20880,N,1,0
20880,N,2,0
21120,N,0,0
21360,N,0,0
21360,N,1,0
21840,N,0,0
21840,N,1,0
22080,N,0,0
22320,N,0,0
22320,N,1,0
22800,N,0,0
22800,N,1,0
23040,N,0,0
23040,S,1,3681
23280,N,0,362
23280,N,1,362
23760,N,0,0
23760,N,1,0
24000,N,2,361
24000,N,3,361
24480,N,1,362
24480,N,2,362
24960,N,0,0
25200,N,0,0
25200,N,1,0
25680,N,0,0
25680,N,1,0
25920,N,0,0
26160,N,0,0
26160,N,1,0
26640,N,0,0
26640,N,1,0
26880,N,0,0
26880,S,0,7484
27120,N,0,362
27120,N,1,362
27600,N,0,0
27600,N,1,0
27840,N,2,122
27840,N,3,122
28080,N,2,122
28080,N,3,122
28320,N,1,122
28320,N,2,122
28560,N,1,122
28560,N,2,122
28800,N,0,0
29040,N,0,0
29040,N,1,0
29520,N,0,0
29520,N,1,0
29760,N,0,0
30000,N,0,0
30000,N,1,0
30480,N,0,0
30480,N,1,0
30720,N,0,0
30720,S,1,7485
30720,S,2,3721
30720,S,3,3721
30960,N,0,361
30960,N,1,361
31440,N,0,0
31440,N,1,0
31680,N,2,360
31680,N,3,360
32160,N,1,361
32160,N,2,361
32640,N,0,0
32880,N,0,0
32880,N,1,0
33360,N,0,0
33360,N,1,0
33600,N,0,0
33840,N,0,0
33840,N,1,0
34320,N,0,0
34320,N,1,0
34560,N,0,0
34800,N,0,0
34800,N,1,0
35280,N,0,0
35280,N,1,0
35520,N,2,0
35520,N,3,0
35760,N,4,0
36000,N,1,0
36000,N,2,0
36240,N,3,0
36480,N,1,0
36720,N,0,362
36720,N,1,362
37200,N,0,0
37200,N,1,0
37440,N,0,0
37680,N,0,0
37680,N,1,0
38160,N,0,0
38160,N,1,0
38400,N,0,0
38400,S,0,3684
38640,N,0,0
38640,N,1,0
39120,N,0,0
39120,N,1,0
39360,N,2,0
39360,N,3,0
39600,N,4,0
39840,N,1,0
39840,N,2,0
40080,N,3,0
40320,N,1,0
40560,N,0,363
40560,N,1,363
41040,N,0,0
41040,N,1,0
41280,N,0,0
41520,N,0,0
41520,N,1,0
42000,N,0,0
42000,N,1,0
42240,N,0,0
42240,S,1,3683
42480,N,0,0
42480,N,1,0
